2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52476 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.06ms |     [::1]:52477 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52443 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.10ms |     [::1]:52459 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.23ms |     [::1]:52440 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.15ms |     [::1]:52478 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52467 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.37ms |     [::1]:52458 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52487 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52472 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.43ms |     [::1]:52448 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52488 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52489 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.46ms |     [::1]:52451 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52490 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52484 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52491 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52452 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52493 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52453 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.60ms |     [::1]:52450 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.75ms |     [::1]:52454 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52496 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.74ms |     [::1]:52430 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.28ms |     [::1]:52471 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52468 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52498 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.03ms |     [::1]:52497 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52499 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52500 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.32ms |     [::1]:52492 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.03ms |     [::1]:52462 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52501 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52463 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52464 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.32ms |     [::1]:52444 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52465 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52466 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52503 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.32ms |     [::1]:52502 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52469 | GET /api/cache
